name,link,store_name,price,URL
"Samsung Odyssey G9 49"" 1440p Gaming Monitor For Student/EPP YMMV $1221",/f/14400899-samsung-odyssey-g9-49-1440p-gaming-monitor-for-student-epp-ymmv-1221?src=catpagev2,,"$1,221",https://slickdeals.net/computer-deals/
Lenovo 600 Wireless Media Mouse - $11.99 w/ Free Shipping,/f/14401436-lenovo-600-wireless-media-mouse-11-99-w-free-shipping?src=catpagev2,,,https://slickdeals.net/computer-deals/
"Private Internet Access (PIA) VPN - 2yr plan +3 months + 1 yr of Boxcryptor License, $69.95",/f/14401592-private-internet-access-pia-vpn-2yr-plan-3-months-1-yr-of-boxcryptor-license-69-95?src=catpagev2,,,https://slickdeals.net/computer-deals/
SanDisk - Extreme PLUS 256GB microSDXC UHS-I Memory Card $59.99,/f/14401445-sandisk-extreme-plus-256gb-microsdxc-uhs-i-memory-card-59-99?src=catpagev2,Best Buy,$59.99,https://slickdeals.net/computer-deals/
ABS Challenger Gaming PC - Ryzen 5 3600 - GeForce GTX 1660 - 8GB DDR4 - 512GB SSD for $699.99 + FS,/f/14401415-abs-challenger-gaming-pc-ryzen-5-3600-geforce-gtx-1660-8gb-ddr4-512gb-ssd-for-699-99-fs?src=catpagev2,Newegg,,https://slickdeals.net/computer-deals/
"27"" GIGABYTE G27QC Curved WQHD 165Hz FreeSync VA Monitor @Newegg $280",/f/14401391-27-gigabyte-g27qc-curved-wqhd-165hz-freesync-va-monitor-newegg-280?src=catpagev2,Newegg,$280,https://slickdeals.net/computer-deals/
Fractal Design Focus G Gunmetal Gray Mid Tower Case @Newegg,/f/14401388-fractal-design-focus-g-gunmetal-gray-mid-tower-case-newegg?src=catpagev2,Newegg,,https://slickdeals.net/computer-deals/
16GB (2x 8) Patriot Viper Blackout DDR4 4133 RAM Kit @Newegg $100,/f/14401382-16gb-2x-8-patriot-viper-blackout-ddr4-4133-ram-kit-newegg-100?src=catpagev2,Newegg,$100,https://slickdeals.net/computer-deals/
Logitech G305 LIGHTSPEED Wireless Mouse (Black) $39.99,/f/14400902-logitech-g305-lightspeed-wireless-mouse-black-39-99?src=catpagev2,Best Buy,$39.99,https://slickdeals.net/computer-deals/
"Intel 660P 512GB Solid State Drive - M.2 2280 Internal - PCIe 3.0 x4, NVMe for $52.99 + FS",/f/14401355-intel-660p-512gb-solid-state-drive-m-2-2280-internal-pcie-3-0-x4-nvme-for-52-99-fs?src=catpagev2,Newegg,,https://slickdeals.net/computer-deals/
ASUS TUF B550 & Z490 Motherboard with XPG TUF Memory: Starting at $219.98,/f/14400776-asus-tuf-b550-z490-motherboard-with-xpg-tuf-memory-starting-at-219-98?src=catpagev2,Newegg,,https://slickdeals.net/computer-deals/
AMD Ryzen 9 3950X Matisse 3.5GHz 16-Core AM4 Boxed Processor - MicroCenter B&M $679.99,/f/14399906-amd-ryzen-9-3950x-matisse-3-5ghz-16-core-am4-boxed-processor-microcenter-b-m-679-99?src=catpagev2,B&H Photo Video,$679.99,https://slickdeals.net/computer-deals/
LG 34BN670-B 34'' Ultrawide 2560x1080 75 Hz 500 nits HDR400 IPS FreeSync Monitor @ $300 + F/S (Today),/f/14401250-lg-34bn670-b-34-ultrawide-2560x1080-75-hz-500-nits-hdr400-ips-freesync-monitor-300-f-s-today?src=catpagev2,,$300,https://slickdeals.net/computer-deals/
ZoogVPN Lite: Lifetime Subscription - 5 Devices $15,/f/14400914-zoogvpn-lite-lifetime-subscription-5-devices-15?src=catpagev2,,,https://slickdeals.net/computer-deals/
Neewer Upgraded Microphone Scissor Arm - $38.99 + FSSS,/f/14401049-neewer-upgraded-microphone-scissor-arm-38-99-fsss?src=catpagev2,Amazon,,https://slickdeals.net/computer-deals/
PNY NVIDIA Quadro P400 Professional Graphics Board - (VCQP400-PB) Graphic Cards $102.97,/f/14400443-pny-nvidia-quadro-p400-professional-graphics-board-vcqp400-pb-graphic-cards-102-97?src=catpagev2,Amazon,$102.97,https://slickdeals.net/computer-deals/
"15.6"" Acer PM161Q bu FHD 60Hz 15ms Portable IPS Monitor $129.99",/f/14399318-15-6-acer-pm161q-bu-fhd-60hz-15ms-portable-ips-monitor-129-99?src=catpagev2,Amazon,$129.99,https://slickdeals.net/computer-deals/
Asus ROG Rapture GT-AX11000 Tri-Band 10 Gigabit WiFi Router $380 Amazon.com,/f/14400344-asus-rog-rapture-gt-ax11000-tri-band-10-gigabit-wifi-router-380-amazon-com?src=catpagev2,Amazon,$379.99,https://slickdeals.net/computer-deals/
"Acer 24"" Class Full HD Monitor $79.99",/f/14400668-acer-24-class-full-hd-monitor-79-99?src=catpagev2,TigerDirect,$79.99,https://slickdeals.net/computer-deals/
"Monoprice Thunderbolt 3 Mobile Dual DisplayPort Output Micro Adapter ($27, listed price $89.99) 4K@60Hz (usb-c)",/f/14400536-monoprice-thunderbolt-3-mobile-dual-displayport-output-micro-adapter-27-listed-price-89-99-4k-60hz-usb-c?src=catpagev2,,$27,https://slickdeals.net/computer-deals/
Game Developer Training + VPN Unlimited: Lifetime Sub + 1-Yr PlayStation Plus,/f/14398478-1-yr-playstation-plus-vpn-unlimited-lifetime-160-hours-game-development-training-60?src=catpagev2,StackSocial,$60,https://slickdeals.net/computer-deals/
"Alxum USB Type-C to IDE/SATA Hard Drive Adapter for 2.5"" & 3.5"" SSD HDD, Include 12V2A Power Adapter $19.49",/f/14399810-alxum-usb-type-c-to-ide-sata-hard-drive-adapter-for-2-5-3-5-ssd-hdd-include-12v2a-power-adapter-19-49?src=catpagev2,Amazon,,https://slickdeals.net/computer-deals/
YMMV: Logitech G403 Gaming Mouse- $27.49 in-store at Target,/f/14400293-ymmv-logitech-g403-gaming-mouse-27-49-in-store-at-target?src=catpagev2,Target,$27.49,https://slickdeals.net/computer-deals/
Dell Inspiron 13.3inch 7000 2-in-1 4K Ultra HD Touch-Screen Laptop Intel Core i7 16GB Memory 512GB SSD + 32GB Optane Black I7391-7520BLK-PUS - Best Buy,/f/14400071-dell-inspiron-13-3inch-7000-2-in-1-4k-ultra-hd-touch-screen-laptop-intel-core-i7-16gb-memory-512gb-ssd-32gb-optane-black-i7391-7520blk-pus-best-buy?src=catpagev2,Best Buy,$899.98,https://slickdeals.net/computer-deals/
"Samsung SE450 Series LED Monitor - 21.5"", TN, 1920x1080 $86.99 Free Shipping",/f/14399762-samsung-se450-series-led-monitor-21-5-tn-1920x1080-86-99-free-shipping?src=catpagev2,TigerDirect,$86.99,https://slickdeals.net/computer-deals/
CORSAIR Vengeance RGB Pro 16GB (2 x 8GB) 288-Pin DDR4 DRAM DDR4 3200 (PC4 25600) Desktop Memory $82.99 AC + FS,/f/14399045-corsair-vengeance-rgb-pro-16gb-2-x-8gb-288-pin-ddr4-dram-ddr4-3200-pc4-25600-desktop-memory-82-99-ac-fs?src=catpagev2,Newegg,,https://slickdeals.net/computer-deals/
Roboform 50% off via BitsDuJour discount code,/f/14397026-roboform-50-off-via-bitsdujour-discount-code?src=catpagev2,,$11.90,https://slickdeals.net/computer-deals/
Antec Dapper Dark Phantom DP301M Tempered Glass Micro-ATX Case (Steel / ARGB) @Newegg (AR) $45,/f/14399279-antec-dapper-dark-phantom-dp301m-tempered-glass-micro-atx-case-steel-argb-newegg-ar-45?src=catpagev2,Newegg,$45,https://slickdeals.net/computer-deals/
"Samsung Odyssey G9 49"" 1440p Gaming Monitor For Student/EPP YMMV $1221",/f/14400899-samsung-odyssey-g9-49-1440p-gaming-monitor-for-student-epp-ymmv-1221?src=catpagev2,,"$1,221",https://slickdeals.net/computer-deals/?page=2
Lenovo 600 Wireless Media Mouse - $11.99 w/ Free Shipping,/f/14401436-lenovo-600-wireless-media-mouse-11-99-w-free-shipping?src=catpagev2,,,https://slickdeals.net/computer-deals/?page=2
"Private Internet Access (PIA) VPN - 2yr plan +3 months + 1 yr of Boxcryptor License, $69.95",/f/14401592-private-internet-access-pia-vpn-2yr-plan-3-months-1-yr-of-boxcryptor-license-69-95?src=catpagev2,,,https://slickdeals.net/computer-deals/?page=2
SanDisk - Extreme PLUS 256GB microSDXC UHS-I Memory Card $59.99,/f/14401445-sandisk-extreme-plus-256gb-microsdxc-uhs-i-memory-card-59-99?src=catpagev2,Best Buy,$59.99,https://slickdeals.net/computer-deals/?page=2
ABS Challenger Gaming PC - Ryzen 5 3600 - GeForce GTX 1660 - 8GB DDR4 - 512GB SSD for $699.99 + FS,/f/14401415-abs-challenger-gaming-pc-ryzen-5-3600-geforce-gtx-1660-8gb-ddr4-512gb-ssd-for-699-99-fs?src=catpagev2,Newegg,,https://slickdeals.net/computer-deals/?page=2
"27"" GIGABYTE G27QC Curved WQHD 165Hz FreeSync VA Monitor @Newegg $280",/f/14401391-27-gigabyte-g27qc-curved-wqhd-165hz-freesync-va-monitor-newegg-280?src=catpagev2,Newegg,$280,https://slickdeals.net/computer-deals/?page=2
Fractal Design Focus G Gunmetal Gray Mid Tower Case @Newegg,/f/14401388-fractal-design-focus-g-gunmetal-gray-mid-tower-case-newegg?src=catpagev2,Newegg,,https://slickdeals.net/computer-deals/?page=2
16GB (2x 8) Patriot Viper Blackout DDR4 4133 RAM Kit @Newegg $100,/f/14401382-16gb-2x-8-patriot-viper-blackout-ddr4-4133-ram-kit-newegg-100?src=catpagev2,Newegg,$100,https://slickdeals.net/computer-deals/?page=2
Logitech G305 LIGHTSPEED Wireless Mouse (Black) $39.99,/f/14400902-logitech-g305-lightspeed-wireless-mouse-black-39-99?src=catpagev2,Best Buy,$39.99,https://slickdeals.net/computer-deals/?page=2
"Intel 660P 512GB Solid State Drive - M.2 2280 Internal - PCIe 3.0 x4, NVMe for $52.99 + FS",/f/14401355-intel-660p-512gb-solid-state-drive-m-2-2280-internal-pcie-3-0-x4-nvme-for-52-99-fs?src=catpagev2,Newegg,,https://slickdeals.net/computer-deals/?page=2
ASUS TUF B550 & Z490 Motherboard with XPG TUF Memory: Starting at $219.98,/f/14400776-asus-tuf-b550-z490-motherboard-with-xpg-tuf-memory-starting-at-219-98?src=catpagev2,Newegg,,https://slickdeals.net/computer-deals/?page=2
AMD Ryzen 9 3950X Matisse 3.5GHz 16-Core AM4 Boxed Processor - MicroCenter B&M $679.99,/f/14399906-amd-ryzen-9-3950x-matisse-3-5ghz-16-core-am4-boxed-processor-microcenter-b-m-679-99?src=catpagev2,B&H Photo Video,$679.99,https://slickdeals.net/computer-deals/?page=2
LG 34BN670-B 34'' Ultrawide 2560x1080 75 Hz 500 nits HDR400 IPS FreeSync Monitor @ $300 + F/S (Today),/f/14401250-lg-34bn670-b-34-ultrawide-2560x1080-75-hz-500-nits-hdr400-ips-freesync-monitor-300-f-s-today?src=catpagev2,,$300,https://slickdeals.net/computer-deals/?page=2
ZoogVPN Lite: Lifetime Subscription - 5 Devices $15,/f/14400914-zoogvpn-lite-lifetime-subscription-5-devices-15?src=catpagev2,,,https://slickdeals.net/computer-deals/?page=2
Neewer Upgraded Microphone Scissor Arm - $38.99 + FSSS,/f/14401049-neewer-upgraded-microphone-scissor-arm-38-99-fsss?src=catpagev2,Amazon,,https://slickdeals.net/computer-deals/?page=2
PNY NVIDIA Quadro P400 Professional Graphics Board - (VCQP400-PB) Graphic Cards $102.97,/f/14400443-pny-nvidia-quadro-p400-professional-graphics-board-vcqp400-pb-graphic-cards-102-97?src=catpagev2,Amazon,$102.97,https://slickdeals.net/computer-deals/?page=2
"15.6"" Acer PM161Q bu FHD 60Hz 15ms Portable IPS Monitor $129.99",/f/14399318-15-6-acer-pm161q-bu-fhd-60hz-15ms-portable-ips-monitor-129-99?src=catpagev2,Amazon,$129.99,https://slickdeals.net/computer-deals/?page=2
Asus ROG Rapture GT-AX11000 Tri-Band 10 Gigabit WiFi Router $380 Amazon.com,/f/14400344-asus-rog-rapture-gt-ax11000-tri-band-10-gigabit-wifi-router-380-amazon-com?src=catpagev2,Amazon,$379.99,https://slickdeals.net/computer-deals/?page=2
"Acer 24"" Class Full HD Monitor $79.99",/f/14400668-acer-24-class-full-hd-monitor-79-99?src=catpagev2,TigerDirect,$79.99,https://slickdeals.net/computer-deals/?page=2
"Monoprice Thunderbolt 3 Mobile Dual DisplayPort Output Micro Adapter ($27, listed price $89.99) 4K@60Hz (usb-c)",/f/14400536-monoprice-thunderbolt-3-mobile-dual-displayport-output-micro-adapter-27-listed-price-89-99-4k-60hz-usb-c?src=catpagev2,,$27,https://slickdeals.net/computer-deals/?page=2
Game Developer Training + VPN Unlimited: Lifetime Sub + 1-Yr PlayStation Plus,/f/14398478-1-yr-playstation-plus-vpn-unlimited-lifetime-160-hours-game-development-training-60?src=catpagev2,StackSocial,$60,https://slickdeals.net/computer-deals/?page=2
"Alxum USB Type-C to IDE/SATA Hard Drive Adapter for 2.5"" & 3.5"" SSD HDD, Include 12V2A Power Adapter $19.49",/f/14399810-alxum-usb-type-c-to-ide-sata-hard-drive-adapter-for-2-5-3-5-ssd-hdd-include-12v2a-power-adapter-19-49?src=catpagev2,Amazon,,https://slickdeals.net/computer-deals/?page=2
YMMV: Logitech G403 Gaming Mouse- $27.49 in-store at Target,/f/14400293-ymmv-logitech-g403-gaming-mouse-27-49-in-store-at-target?src=catpagev2,Target,$27.49,https://slickdeals.net/computer-deals/?page=2
Dell Inspiron 13.3inch 7000 2-in-1 4K Ultra HD Touch-Screen Laptop Intel Core i7 16GB Memory 512GB SSD + 32GB Optane Black I7391-7520BLK-PUS - Best Buy,/f/14400071-dell-inspiron-13-3inch-7000-2-in-1-4k-ultra-hd-touch-screen-laptop-intel-core-i7-16gb-memory-512gb-ssd-32gb-optane-black-i7391-7520blk-pus-best-buy?src=catpagev2,Best Buy,$899.98,https://slickdeals.net/computer-deals/?page=2
